# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.21722     0.08214     0.15183  -19.671875304  -27.076169311   -7.404294007
     1       1     0.21288     0.08049     0.14879  -19.672437369  -27.076562667   -7.404125298
     1       1     0.20853     0.07885     0.14576  -19.674880052  -27.078517386   -7.403637334
     1       1     0.20419     0.07721     0.14272  -19.678203024  -27.081139815   -7.402936790
     1       1     0.19984     0.07556     0.13968  -19.682651684  -27.085071043   -7.402419359
     1       1     0.19550     0.07392     0.13665  -19.687929776  -27.090491759   -7.402561984
     1       1     0.19116     0.07228     0.13361  -19.694120391  -27.097695905   -7.403575514
     1       1     0.18681     0.07064     0.13057  -19.700907918  -27.106330353   -7.405422435
     1       1     0.18247     0.06899     0.12754  -19.707850777  -27.115808703   -7.407957927
     1       1     0.17812     0.06735     0.12450  -19.715346938  -27.126376652   -7.411029714
     1       1     0.17378     0.06571     0.12146  -19.723041041  -27.137516246   -7.414475205
     1       1     0.16943     0.06407     0.11843  -19.730840478  -27.148897443   -7.418056965
     1       1     0.16509     0.06242     0.11539  -19.738697188  -27.160093106   -7.421395918
     1       1     0.16074     0.06078     0.11235  -19.746507245  -27.170485872   -7.423978627
     1       1     0.15640     0.05914     0.10932  -19.754289677  -27.179700419   -7.425410743
     1       1     0.15206     0.05749     0.10628  -19.762165075  -27.188043656   -7.425878580
     1       1     0.14771     0.05585     0.10324  -19.769762877  -27.195770804   -7.426007927
     1       1     0.14337     0.05421     0.10021  -19.777385835  -27.203411298   -7.426025463
     1       1     0.13902     0.05257     0.09717  -19.784978819  -27.210922879   -7.425944060
     1       1     0.13468     0.05092     0.09413  -19.792378540  -27.218176779   -7.425798239
     1       1     0.13033     0.04928     0.09110  -19.799587298  -27.225397283   -7.425809986
     1       1     0.12599     0.04764     0.08806  -19.806503628  -27.232793110   -7.426289482
     1       1     0.12164     0.04600     0.08502  -19.813497669  -27.240847403   -7.427349734
     1       1     0.11730     0.04435     0.08199  -19.819991208  -27.248932875   -7.428941667
     1       1     0.11296     0.04271     0.07895  -19.826513915  -27.257471584   -7.430957669
     1       1     0.10861     0.04107     0.07591  -19.832714471  -27.266018373   -7.433303902
     1       1     0.10427     0.03942     0.07288  -19.838738504  -27.274641686   -7.435903183
     1       1     0.09992     0.03778     0.06984  -19.844558987  -27.283213713   -7.438654726
     1       1     0.09558     0.03614     0.06681  -19.850194376  -27.291572766   -7.441378390
     1       1     0.09123     0.03450     0.06377  -19.855935042  -27.299698455   -7.443763413
     1       1     0.08689     0.03285     0.06073  -19.861200108  -27.306639482   -7.445439375
     1       1     0.08254     0.03121     0.05770  -19.866100130  -27.312328279   -7.446228150
     1       1     0.07820     0.02957     0.05466  -19.870893549  -27.317341353   -7.446447804
     1       1     0.07386     0.02793     0.05162  -19.875065910  -27.321579892   -7.446513983
     1       1     0.06951     0.02628     0.04859  -19.879292451  -27.325793561   -7.446501109
     1       1     0.06517     0.02464     0.04555  -19.883288209  -27.329697797   -7.446409588
     1       1     0.06082     0.02300     0.04251  -19.886897051  -27.333138514   -7.446241463
     1       1     0.05648     0.02136     0.03948  -19.890221642  -27.336268698   -7.446047056
     1       1     0.05213     0.01971     0.03644  -19.893437037  -27.339383092   -7.445946054
     1       1     0.04779     0.01807     0.03340  -19.896616721  -27.342660238   -7.446043516
     1       1     0.04344     0.01643     0.03037  -19.899447264  -27.345836192   -7.446388928
     1       1     0.03910     0.01478     0.02733  -19.901943609  -27.348934156   -7.446990546
     1       1     0.03476     0.01314     0.02429  -19.904164802  -27.352001100   -7.447836297
     1       1     0.03041     0.01150     0.02126  -19.906228812  -27.355127838   -7.448899026
     1       1     0.02607     0.00986     0.01822  -19.907946244  -27.358072713   -7.450126469
     1       1     0.02172     0.00821     0.01518  -19.909263498  -27.360669569   -7.451406071
     1       1     0.01738     0.00657     0.01215  -19.910522633  -27.363071316   -7.452548682
     1       1     0.01303     0.00493     0.00911  -19.911480436  -27.364814269   -7.453333833
     1       1     0.00869     0.00329     0.00607  -19.912040664  -27.365734873   -7.453694209
     1       1     0.00434     0.00164     0.00304  -19.912124822  -27.365943669   -7.453818847
     1       1     0.00000     0.00000     0.00000  -19.912109088  -27.365966367   -7.453857279
     1       1     0.00434     0.00629     0.00607  -19.912339716  -27.366078651   -7.453738935
     1       1     0.00869     0.01257     0.01215  -19.911242765  -27.364602890   -7.453360124
     1       1     0.01303     0.01886     0.01822  -19.909326750  -27.361701615   -7.452374865
     1       1     0.01738     0.02515     0.02429  -19.906408225  -27.356670622   -7.450262397
     1       1     0.02172     0.03144     0.03037  -19.902651988  -27.349967089   -7.447315101
     1       1     0.02607     0.03772     0.03644  -19.898248175  -27.343183131   -7.444934956
     1       1     0.03041     0.04401     0.04251  -19.893169834  -27.337533186   -7.444363351
     1       1     0.03476     0.05030     0.04859  -19.887379784  -27.331904014   -7.444524229
     1       1     0.03910     0.05659     0.05466  -19.880767969  -27.325247503   -7.444479534
     1       1     0.04344     0.06287     0.06073  -19.873546095  -27.316981308   -7.443435213
     1       1     0.04779     0.06916     0.06681  -19.865281591  -27.303901488   -7.438619897
     1       1     0.05213     0.07545     0.07288  -19.856434432  -27.289555515   -7.433121084
     1       1     0.05648     0.08174     0.07895  -19.847033288  -27.277341202   -7.430307914
     1       1     0.06082     0.08802     0.08502  -19.837005106  -27.266844389   -7.429839283
     1       1     0.06517     0.09431     0.09110  -19.826085764  -27.256308899   -7.430223135
     1       1     0.06951     0.10060     0.09717  -19.814670350  -27.245197762   -7.430527412
     1       1     0.07386     0.10688     0.10324  -19.802731104  -27.233303311   -7.430572207
     1       1     0.07820     0.11317     0.10932  -19.789955945  -27.220300035   -7.430344089
     1       1     0.08254     0.11946     0.11539  -19.776752215  -27.206383352   -7.429631137
     1       1     0.08689     0.12575     0.12146  -19.762785000  -27.189844550   -7.427059550
     1       1     0.09123     0.13203     0.12754  -19.748432315  -27.169413225   -7.420980910
     1       1     0.09558     0.13832     0.13361  -19.733450771  -27.145490703   -7.412039932
     1       1     0.09992     0.14461     0.13968  -19.718220720  -27.122971675   -7.404750954
     1       1     0.10427     0.15090     0.14576  -19.702541253  -27.105644521   -7.403103269
     1       1     0.10861     0.15718     0.15183  -19.686969969  -27.090214382   -7.403244413
     1       1     0.11296     0.16347     0.15790  -19.670845079  -27.073880605   -7.403035526
     1       1     0.11730     0.16976     0.16398  -19.654675736  -27.054513587   -7.399837851
     1       1     0.12164     0.17605     0.17005  -19.638489110  -27.029880168   -7.391391058
