energy epsilon1 epsilon2
0.1 2.076248637005371 6.6299496524043e-11
0.11 2.076370637938954 5.234579231845301e-10
0.12 2.076504341255578 3.0030686617761e-11
0.13 2.0766497702322355 6.608014410003001e-11
0.14 2.0768069502827564 5.847020013351399e-12
0.15 2.0769759106214343 1.1872344588025e-09
0.16 2.077156661774313 3.3116088786599e-08
0.17 2.0773492514679064 2.3568176719974e-09
0.18 2.077553728296487 1.429284994264e-09
0.19 2.0777701120299112 2.5382778553840002e-11
0.2 2.077998445162729 9.673356893438e-10
0.21 2.0782387579465045 2.2538934016954e-08
0.22 2.078491113416793 9.5549342872738e-10
0.23 2.0787555630781 4.5672024813334e-08
0.24 2.0790320163892577 2.6361560029319e-07
0.25 2.079320639011211 6.9213228214483e-08
0.26 2.0796216183013705 2.5334852580615e-09
0.27 2.0799349224227845 9.683342734729802e-10
0.28 2.0802604164532195 3.1623105134094e-07
0.29 2.0805982883514464 7.6457153782704e-08
0.3 2.0809488004512713 7.680909863406101e-10
0.31 2.0813119052430458 1.1357077354599001e-10
0.32 2.0816877582675644 9.6054396658083e-12
0.33 2.082076641191688 3.1760484543645e-07
0.34 2.0824760255168515 4.7391692810265e-06
0.35 2.0828885375374884 4.9767661045581e-08
0.36 2.083315589688023 1.2171838165924e-06
0.37 2.0837551194262622 9.1556468219092e-08
0.38 2.0842081649416686 2.691042650789e-08
0.39 2.084674253396042 1.3620367824913002e-10
0.4 2.085153562837413 8.1887331178113e-09
0.41 2.0856462274462997 4.6981094999342e-10
0.42 2.0861523985226516 4.2048823562618e-09
0.43 2.08667200021741 3.3495535643348e-07
0.44 2.087205284791723 6.1445806552862e-08
0.45 2.0877525740723417 4.3354703086179003e-10
0.46 2.088313787725511 1.2749359424665e-07
0.47 2.088888855732533 4.3143479572731e-07
0.48 2.089478192236282 6.0505110057659e-10
0.49 2.090082067781749 1.9565340363539e-14
0.5 2.0907003889208373 6.806473421683399e-12
0.51 2.0913333428870984 6.330533464594801e-10
0.52 2.091981094972402 2.0341312103327e-11
0.53 2.0926438116912744 2.8574492109314e-13
0.54 2.093321664018563 4.5759499393639e-13
0.55 2.094014829702528 1.3214572488496e-11
0.56 2.094723493421512 2.4505359023334e-10
0.57 2.0954478466749005 1.4841723722115e-09
0.58 2.096188089679027 1.1602558274313e-09
0.59 2.0969444319585437 2.1361437035084e-11
0.6 2.097717090470206 6.6834465767364e-13
0.61 2.0985062911267196 2.3905710626929e-10
0.62 2.0993122697111053 1.3231927709174e-09
0.63 2.1001352736846988 3.1515143510897e-10
0.64 2.1009755605256766 1.9400149000293e-09
0.65 2.101833401494367 1.768598221033e-10
0.66 2.102709070722283 1.7103149337576e-08
0.67 2.1036028695483817 6.7947648414348e-09
0.68 2.104515127601639 4.999127687837e-10
0.69 2.105446196426702 1.1969466549487e-11
0.7 2.1063965813199603 1.4869003861682e-08
0.71 2.107365346424916 2.2351662077736e-06
0.72 2.108353895548979 1.3063135525387e-07
0.73 2.1093635583662116 2.8418723969103e-07
0.74 2.1103936128162557 4.7707708863672e-08
0.75 2.111444740231401 4.9851479052388e-09
0.76 2.112517293008214 8.2442487580711e-10
0.77 2.1136117537778008 3.5827909030432997e-12
0.78 2.114728631174149 1.1531036292464e-10
0.79 2.1158684567789545 8.389742209787801e-11
0.8 2.117031786864136 1.0986273750205e-08
0.81 2.1182191949078204 4.5024068972359e-08
0.82 2.1194313334511383 1.8814613913802e-08
0.83 2.120668869086935 6.3389385325057e-08
0.84 2.121932551500971 8.6438421031359e-09
0.85 2.123223238121361 1.2842075829526e-09
0.86 2.1245419091670716 3.2305459983266e-09
0.87 2.1258898962798214 3.0766931001521e-07
0.88 2.1272661524526275 4.9720618773568e-06
0.89 2.128674717939074 2.9168146817672e-06
0.9 2.13011416929621 1.7219334177517e-05
0.91 2.1315648852375015 4.8074869397646e-05
0.92 2.1330571450565827 2.9649603428776e-06
0.93 2.1346084003403205 3.6928463418508e-07
0.94 2.1362022941079513 4.0803743277364e-07
0.95 2.137820280114254 5.9687939652665e-05
0.96 2.139414462316978 0.00013981625531799
0.97 2.1410833266619065 6.3912136394862e-06
0.98 2.142877116103086 6.1911998440408e-07
0.99 2.144788102458663 5.4450172838762e-06
1.0 2.146382968210715 0.00079339038139686
1.01 2.1479327868222966 0.00020899608676189
1.02 2.149926459987719 3.9670903943315e-06
1.03 2.1518963465476064 0.00018932214859708
