Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000          -54.797      -71.891       17.094   367.4
0.0020          -54.885      -71.899       17.015   365.6
0.0040          -54.894      -71.886       16.991   365.1
0.0060          -54.899      -71.849       16.950   364.2
0.0080          -54.948      -71.787       16.838   361.9
0.0100          -54.824      -71.699       16.875   362.6
0.0120          -54.808      -71.584       16.776   360.5
0.0140          -54.743      -71.443       16.701   358.9
0.0160          -54.748      -71.277       16.530   355.2
0.0180          -54.786      -71.087       16.300   350.3
0.0200          -54.892      -70.879       15.987   343.6
0.0220          -54.864      -70.658       15.794   339.4
0.0240          -54.970      -70.429       15.459   332.2
0.0260          -55.057      -70.199       15.142   325.4
0.0280          -55.129      -69.974       14.845   319.0
0.0300          -55.105      -69.751       14.646   314.7
0.0320          -55.029      -69.534       14.505   311.7
0.0340          -55.134      -69.333       14.200   305.1
0.0360          -55.138      -69.154       14.016   301.2
0.0380          -55.097      -68.996       13.900   298.7
0.0400          -55.192      -68.869       13.676   293.9
0.0420          -55.136      -68.777       13.641   293.1
0.0440          -55.037      -68.720       13.683   294.0
0.0460          -55.118      -68.698       13.580   291.8
0.0480          -55.117      -68.711       13.594   292.1
0.0500          -55.090      -68.760       13.670   293.8
0.0520          -55.142      -68.841       13.699   294.4
0.0540          -55.124      -68.955       13.831   297.2
0.0560          -55.121      -69.091       13.971   300.2
0.0580          -55.082      -69.251       14.169   304.5
0.0600          -55.113      -69.428       14.315   307.6
0.0620          -55.100      -69.619       14.519   312.0
0.0640          -55.100      -69.816       14.716   316.2
0.0660          -55.115      -70.014       14.899   320.2
0.0680          -55.129      -70.208       15.079   324.0
0.0700          -55.218      -70.394       15.176   326.1
0.0720          -55.268      -70.568       15.300   328.8
0.0740          -55.281      -70.728       15.447   332.0
0.0760          -55.371      -70.869       15.498   333.0
0.0780          -55.327      -70.990       15.662   336.6
0.0800          -55.349      -71.091       15.742   338.3
0.0820          -55.462      -71.170       15.708   337.6
0.0840          -55.482      -71.226       15.744   338.3
0.0860          -55.565      -71.261       15.697   337.3
0.0880          -55.526      -71.278       15.752   338.5
0.0900          -55.536      -71.277       15.740   338.3
0.0920          -55.583      -71.257       15.674   336.8
0.0940          -55.546      -71.219       15.672   336.8
0.0960          -55.595      -71.165       15.570   334.6
0.0980          -55.570      -71.097       15.527   333.7
0.1000          -55.580      -71.018       15.439   331.8
0.1020          -55.554      -70.928       15.374   330.4
0.1040          -55.597      -70.826       15.229   327.3
0.1060          -55.597      -70.716       15.119   324.9
0.1080          -55.670      -70.604       14.934   320.9
0.1100          -55.688      -70.490       14.802   318.1
0.1120          -55.694      -70.376       14.682   315.5
0.1140          -55.655      -70.263       14.607   313.9
0.1160          -55.620      -70.153       14.532   312.3
0.1180          -55.629      -70.049       14.420   309.9
0.1200          -55.532      -69.954       14.422   309.9
0.1220          -55.391      -69.870       14.479   311.2
0.1240          -55.421      -69.797       14.376   308.9
0.1260          -55.320      -69.735       14.415   309.8
0.1280          -55.398      -69.687       14.289   307.1
0.1300          -55.459      -69.654       14.195   305.0
0.1320          -55.460      -69.636       14.176   304.6
0.1340          -55.407      -69.631       14.223   305.7
0.1360          -55.332      -69.640       14.308   307.5
0.1380          -55.378      -69.662       14.284   307.0
0.1400          -55.445      -69.696       14.251   306.3
0.1420          -55.452      -69.740       14.288   307.0
0.1440          -55.393      -69.790       14.397   309.4
0.1460          -55.326      -69.845       14.519   312.0
0.1480          -55.380      -69.903       14.523   312.1
0.1500          -55.349      -69.962       14.613   314.0
0.1520          -55.344      -70.018       14.674   315.3
0.1540          -55.322      -70.069       14.747   316.9
0.1560          -55.308      -70.115       14.807   318.2
0.1580          -55.302      -70.154       14.852   319.2
0.1600          -55.284      -70.188       14.904   320.3
0.1620          -55.333      -70.216       14.883   319.8
0.1640          -55.319      -70.236       14.917   320.6
0.1660          -55.345      -70.249       14.904   320.3
0.1680          -55.435      -70.255       14.820   318.5
0.1700          -55.451      -70.255       14.805   318.2
0.1720          -55.527      -70.250       14.723   316.4
0.1740          -55.511      -70.243       14.732   316.6
0.1760          -55.580      -70.231       14.651   314.8
0.1780          -55.675      -70.214       14.539   312.4
0.1800          -55.688      -70.194       14.506   311.7
0.1820          -55.732      -70.171       14.439   310.3
0.1840          -55.714      -70.146       14.432   310.1
0.1860          -55.740      -70.121       14.381   309.0
0.1880          -55.708      -70.094       14.386   309.2
0.1900          -55.666      -70.065       14.399   309.4
0.1920          -55.735      -70.033       14.298   307.3
0.1940          -55.670      -69.997       14.328   307.9
0.1960          -55.687      -69.961       14.274   306.8
0.1980          -55.700      -69.924       14.224   305.7
0.2000          -55.700      -69.882       14.182   304.8
0.2020          -55.740      -69.839       14.099   303.0
0.2040          -55.706      -69.795       14.089   302.8
0.2060          -55.593      -69.751       14.158   304.3
0.2080          -55.456      -69.707       14.251   306.2
0.2100          -55.513      -69.663       14.150   304.1
0.2120          -55.562      -69.619       14.057   302.1
0.2140          -55.503      -69.577       14.074   302.5
0.2160          -55.589      -69.538       13.949   299.8
0.2180          -55.574      -69.500       13.925   299.3
0.2200          -55.557      -69.465       13.908   298.9
0.2220          -55.514      -69.433       13.919   299.1
0.2240          -55.527      -69.404       13.877   298.2
0.2260          -55.552      -69.379       13.827   297.1
0.2280          -55.580      -69.361       13.781   296.1
0.2300          -55.608      -69.349       13.741   295.3
0.2320          -55.602      -69.340       13.738   295.2
0.2340          -55.589      -69.336       13.747   295.4
0.2360          -55.562      -69.338       13.776   296.0
0.2380          -55.499      -69.343       13.844   297.5
0.2400          -55.478      -69.352       13.874   298.2
0.2420          -55.409      -69.363       13.954   299.9
0.2440          -55.408      -69.375       13.968   300.2
0.2460          -55.451      -69.386       13.935   299.5
0.2480          -55.342      -69.396       14.054   302.0
0.2500          -55.327      -69.403       14.076   302.5
0.2520          -55.354      -69.409       14.055   302.0
0.2540          -55.405      -69.411       14.006   301.0
0.2560          -55.376      -69.412       14.036   301.6
0.2580          -55.335      -69.411       14.076   302.5
0.2600          -55.360      -69.411       14.050   301.9
0.2620          -55.444      -69.408       13.963   300.1
0.2640          -55.511      -69.407       13.897   298.6
0.2660          -55.483      -69.410       13.927   299.3
0.2680          -55.497      -69.418       13.921   299.2
0.2700          -55.488      -69.429       13.942   299.6
0.2720          -55.557      -69.442       13.886   298.4
0.2740          -55.576      -69.458       13.882   298.3
0.2760          -55.548      -69.479       13.931   299.4
0.2780          -55.607      -69.502       13.895   298.6
0.2800          -55.629      -69.525       13.897   298.6
0.2820          -55.652      -69.551       13.899   298.7
0.2840          -55.630      -69.577       13.947   299.7
0.2860          -55.629      -69.607       13.978   300.4
0.2880          -55.665      -69.640       13.976   300.3
0.2900          -55.695      -69.673       13.978   300.4
0.2920          -55.671      -69.708       14.037   301.7
0.2940          -55.695      -69.746       14.051   302.0
0.2960          -55.638      -69.786       14.148   304.0
0.2980          -55.586      -69.825       14.239   306.0
0.3000          -55.484      -69.863       14.379   309.0
0.3020          -55.582      -69.900       14.318   307.7
0.3040          -55.522      -69.937       14.415   309.8
0.3060          -55.515      -69.973       14.458   310.7
0.3080          -55.423      -70.011       14.588   313.5
0.3100          -55.521      -70.048       14.527   312.2
0.3120          -55.531      -70.082       14.552   312.7
0.3140          -55.452      -70.115       14.663   315.1
0.3160          -55.378      -70.146       14.769   317.4
0.3180          -55.367      -70.173       14.806   318.2
0.3200          -55.342      -70.194       14.851   319.2
0.3220          -55.352      -70.211       14.859   319.3
0.3240          -55.360      -70.224       14.864   319.4
0.3260          -55.408      -70.234       14.826   318.6
0.3280          -55.451      -70.239       14.788   317.8
0.3300          -55.423      -70.243       14.820   318.5
0.3320          -55.412      -70.244       14.831   318.7
0.3340          -55.424      -70.242       14.818   318.4
0.3360          -55.359      -70.238       14.879   319.7
0.3380          -55.332      -70.231       14.899   320.2
0.3400          -55.337      -70.224       14.887   319.9
0.3420          -55.309      -70.217       14.908   320.4
0.3440          -55.348      -70.207       14.859   319.3
0.3460          -55.286      -70.194       14.908   320.4
0.3480          -55.328      -70.178       14.850   319.1
0.3500          -55.313      -70.162       14.849   319.1
0.3520          -55.248      -70.144       14.896   320.1
0.3540          -55.250      -70.123       14.873   319.6
0.3560          -55.288      -70.099       14.811   318.3
0.3580          -55.289      -70.070       14.781   317.6
0.3600          -55.324      -70.038       14.714   316.2
0.3620          -55.420      -70.005       14.585   313.4
0.3640          -55.380      -69.971       14.591   313.6
0.3660          -55.408      -69.936       14.528   312.2
0.3680          -55.430      -69.904       14.474   311.0
0.3700          -55.389      -69.875       14.486   311.3
0.3720          -55.377      -69.847       14.470   311.0
0.3740          -55.437      -69.824       14.387   309.2
0.3760          -55.462      -69.803       14.340   308.2
0.3780          -55.481      -69.782       14.301   307.3
0.3800          -55.548      -69.763       14.215   305.5
0.3820          -55.590      -69.748       14.158   304.3
0.3840          -55.648      -69.739       14.091   302.8
0.3860          -55.679      -69.735       14.056   302.1
0.3880          -55.544      -69.735       14.192   305.0
0.3900          -55.562      -69.739       14.177   304.7
0.3920          -55.482      -69.747       14.265   306.6
0.3940          -55.380      -69.760       14.380   309.0
0.3960          -55.382      -69.773       14.391   309.3
0.3980          -55.357      -69.786       14.430   310.1
0.4000          -55.324      -69.799       14.475   311.1
0.4020          -55.340      -69.812       14.472   311.0
0.4040          -55.263      -69.823       14.559   312.9
0.4060          -55.226      -69.833       14.607   313.9
0.4080          -55.178      -69.843       14.665   315.1
0.4100          -55.088      -69.852       14.764   317.3
0.4120          -55.078      -69.859       14.781   317.7
0.4140          -55.145      -69.862       14.717   316.3
0.4160          -55.237      -69.861       14.624   314.3
0.4180          -55.268      -69.858       14.590   313.5
0.4200          -55.194      -69.856       14.662   315.1
0.4220          -55.148      -69.853       14.704   316.0
0.4240          -55.114      -69.847       14.733   316.6
0.4260          -55.049      -69.842       14.793   317.9
0.4280          -55.078      -69.835       14.758   317.1
0.4300          -55.130      -69.828       14.699   315.9
0.4320          -55.061      -69.819       14.758   317.1
0.4340          -55.037      -69.809       14.772   317.5
0.4360          -55.112      -69.799       14.687   315.6
0.4380          -55.043      -69.786       14.742   316.8
0.4400          -55.120      -69.772       14.652   314.9
0.4420          -55.064      -69.758       14.694   315.8
0.4440          -55.093      -69.745       14.652   314.9
0.4460          -55.121      -69.732       14.611   314.0
0.4480          -55.181      -69.719       14.539   312.4
0.4500          -55.202      -69.707       14.505   311.7
0.4520          -55.234      -69.697       14.463   310.8
0.4540          -55.267      -69.692       14.425   310.0
0.4560          -55.232      -69.690       14.457   310.7
0.4580          -55.232      -69.689       14.457   310.7
0.4600          -55.219      -69.690       14.471   311.0
0.4620          -55.168      -69.692       14.524   312.1
0.4640          -55.214      -69.696       14.482   311.2
0.4660          -55.251      -69.697       14.447   310.5
0.4680          -55.255      -69.698       14.443   310.4
0.4700          -55.328      -69.695       14.367   308.7
0.4720          -55.231      -69.688       14.457   310.7
0.4740          -55.313      -69.679       14.366   308.7
0.4760          -55.390      -69.667       14.277   306.8
0.4780          -55.504      -69.654       14.149   304.1
0.4800          -55.575      -69.637       14.062   302.2
0.4820          -55.585      -69.615       14.031   301.5
0.4840          -55.624      -69.589       13.964   300.1
