Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000           5.4819       5.4819       0.0000     0.0
0.0010           5.4850       5.4819       0.0031     0.4
0.0020           5.4888       5.4819       0.0070     1.0
0.0030           5.4913       5.4818       0.0094     1.4
0.0040           5.4954       5.4817       0.0137     2.0
0.0050           5.4985       5.4815       0.0170     2.4
0.0060           5.5037       5.4811       0.0226     3.2
0.0070           5.5092       5.4806       0.0286     4.1
0.0080           5.5148       5.4797       0.0351     5.0
0.0090           5.5213       5.4783       0.0430     6.2
0.0100           5.5225       5.4763       0.0462     6.6
0.0110           5.5262       5.4736       0.0526     7.5
0.0120           5.5325       5.4701       0.0623     8.9
0.0130           5.5325       5.4656       0.0670     9.6
0.0140           5.5402       5.4597       0.0805    11.5
0.0150           5.5454       5.4516       0.0938    13.4
0.0160           5.5533       5.4410       0.1123    16.1
0.0170           5.5543       5.4274       0.1269    18.2
0.0180           5.5563       5.4103       0.1460    20.9
0.0190           5.5628       5.3889       0.1739    24.9
0.0200           5.5702       5.3618       0.2084    29.9
0.0210           5.5816       5.3271       0.2545    36.5
0.0220           5.5857       5.2825       0.3032    43.4
0.0230           5.6009       5.2250       0.3759    53.8
0.0240           5.6101       5.1515       0.4586    65.7
0.0250           5.6054       5.0594       0.5460    78.2
0.0260           5.6178       4.9439       0.6740    96.6
0.0270           5.6347       4.8000       0.8347   119.6
0.0280           5.6408       4.6213       1.0195   146.1
0.0290           5.6508       4.4022       1.2485   178.9
0.0300           5.6478       4.1383       1.5095   216.3
0.0310           5.6429       3.8248       1.8181   260.5
0.0320           5.6585       3.4567       2.2018   315.4
0.0330           5.6419       3.0320       2.6099   373.9
0.0340           5.6140       2.5523       3.0617   438.6
0.0350           5.6392       2.0185       3.6207   518.7
0.0360           5.6364       1.4323       4.2041   602.3
0.0370           5.6120       0.8030       4.8090   689.0
0.0380           5.6315       0.1412       5.4903   786.6
0.0390           5.6359      -0.5415       6.1774   885.0
