# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1     0.30616     0.30616     0.30616   -3.566037156   -4.151131870   -0.585094714
     1       1     0.29904     0.29904     0.29904   -3.573979636   -4.159206758   -0.585227122
     1       1     0.29192     0.29192     0.29192   -3.597352334   -4.182956126   -0.585603792
     1       1     0.28480     0.28480     0.28480   -3.635003944   -4.221049298   -0.586045354
     1       1     0.27768     0.27768     0.27768   -3.685240001   -4.271206318   -0.585966317
     1       1     0.27056     0.27056     0.27056   -3.746097053   -4.330833232   -0.584736179
     1       1     0.26344     0.26344     0.26344   -3.815573989   -4.397684786   -0.582110797
     1       1     0.25632     0.25632     0.25632   -3.892278236   -4.470492709   -0.578214473
     1       1     0.24920     0.24920     0.24920   -3.973532998   -4.546876299   -0.573343301
     1       1     0.24208     0.24208     0.24208   -4.058422127   -4.626217187   -0.567795060
     1       1     0.23496     0.23496     0.23496   -4.145763294   -4.707571733   -0.561808440
     1       1     0.22784     0.22784     0.22784   -4.234496740   -4.790053680   -0.555556940
     1       1     0.22072     0.22072     0.22072   -4.323835225   -4.873019884   -0.549184659
     1       1     0.21360     0.21360     0.21360   -4.412782101   -4.955632656   -0.542850554
     1       1     0.20648     0.20648     0.20648   -4.501410200   -5.038186631   -0.536776431
     1       1     0.19936     0.19936     0.19936   -4.588892588   -5.120174290   -0.531281702
     1       1     0.19224     0.19224     0.19224   -4.674979006   -5.201751638   -0.526772632
     1       1     0.18512     0.18512     0.18512   -4.759287457   -5.282921386   -0.523633929
     1       1     0.17800     0.17800     0.17800   -4.841555180   -5.363551159   -0.521995978
     1       1     0.17088     0.17088     0.17088   -4.921597081   -5.443096916   -0.521499834
     1       1     0.16376     0.16376     0.16376   -4.999094686   -5.520542712   -0.521448026
     1       1     0.15664     0.15664     0.15664   -5.074041780   -5.595485521   -0.521443741
     1       1     0.14952     0.14952     0.14952   -5.146248842   -5.667692545   -0.521443703
     1       1     0.14240     0.14240     0.14240   -5.215600334   -5.737047095   -0.521446762
     1       1     0.13528     0.13528     0.13528   -5.281625113   -5.803048048   -0.521422935
     1       1     0.12816     0.12816     0.12816   -5.344981729   -5.866076770   -0.521095040
     1       1     0.12104     0.12104     0.12104   -5.405222629   -5.925192061   -0.519969432
